JFML_BOUNDARY_SWEEP
points_per_axis=7
total_points=49
0.000000000,0.000000000,34.971965790
0.000000000,48.000000000,34.971965790
0.000000000,88.000000000,34.971965790
0.000000000,128.000000000,34.971965790
0.000000000,168.000000000,87.999885559
0.000000000,208.000000000,127.999946594
0.000000000,255.000000000,127.999946594
48.000000000,0.000000000,34.971965790
48.000000000,48.000000000,34.971965790
48.000000000,88.000000000,34.971965790
48.000000000,128.000000000,34.971965790
48.000000000,168.000000000,87.999885559
48.000000000,208.000000000,127.999946594
48.000000000,255.000000000,127.999946594
88.000000000,0.000000000,34.971965790
88.000000000,48.000000000,34.971965790
88.000000000,88.000000000,34.971965790
88.000000000,128.000000000,87.999885559
88.000000000,168.000000000,127.999946594
88.000000000,208.000000000,167.999954224
88.000000000,255.000000000,167.999954224
128.000000000,0.000000000,34.971965790
128.000000000,48.000000000,34.971965790
128.000000000,88.000000000,87.999885559
128.000000000,128.000000000,127.999946594
128.000000000,168.000000000,167.999954224
128.000000000,208.000000000,220.515670776
128.000000000,255.000000000,220.515670776
168.000000000,0.000000000,87.999885559
168.000000000,48.000000000,87.999885559
168.000000000,88.000000000,127.999946594
168.000000000,128.000000000,167.999954224
168.000000000,168.000000000,220.515670776
168.000000000,208.000000000,220.515670776
168.000000000,255.000000000,220.515670776
208.000000000,0.000000000,127.999946594
208.000000000,48.000000000,127.999946594
208.000000000,88.000000000,167.999954224
208.000000000,128.000000000,220.515670776
208.000000000,168.000000000,220.515670776
208.000000000,208.000000000,220.515670776
208.000000000,255.000000000,220.515670776
255.000000000,0.000000000,127.999946594
255.000000000,48.000000000,127.999946594
255.000000000,88.000000000,167.999954224
255.000000000,128.000000000,220.515670776
255.000000000,168.000000000,220.515670776
255.000000000,208.000000000,220.515670776
255.000000000,255.000000000,220.515670776
